truncated_text,bloom_completion
= = = International =,"= = = International = false;
    }

    public void setIsInternational(boolean isInternational) {
        this.isInternational = isInternational;
    }

    public String getTitle() {
        return title;
    }

    public void setTitle("
= = Awards = =,"= = Awards = = {
    {
        name = ""World of Warcraft"",
        desc = ""World of Warcraft"",
        author = ""World of Warcraft"",
        date = ""2013"",
        url = ""http://worldof"
Cullen is the namesake of,"Cullen is the namesake of the Cullen family, a family of Scottish noblemen who were involved in the rebellion of the Scottish Parliament against the English Crown in 1642. The Cullen family was the first to establish a permanent settlement in"
= SMS Erzherzog Ferdinand Max,"= SMS Erzherzog Ferdinand Max von Habsburg, who was born in Vienna on April 23, 1767, was the son of Ferdinand I of Austria and his wife, Princess Maria Theresa of Saxony. He was the eldest son of Ferdinand"
For the ironclad present at,"For the ironclad present at the time of the battle, the
following is the account of the battle given by the historian of the
time:--

""On the morning of the 20th of August, the enemy, under the command of"
SMS Erzherzog Ferdinand Max (,"SMS Erzherzog Ferdinand Max (1861-1925) and his wife, the Countess of Rothschild (1861-1925). The couple had two sons, Ferdinand (1869-1936) and Ernst (1869-1936)."
The second ship of the,"The second ship of the line, the _Valiant_, was a
sloop-of-war, of about forty tons, and was commanded by Captain
Burns, of the _Valiant_. She was armed with a"
She was assigned to the,"She was assigned to the second floor of the hospital, where she was treated for a broken leg. She was then transferred to the ICU, where she was treated for a broken leg. She was then transferred to the ICU, where she was treated for"
For most of World War,"For most of World War II, the United States was the only country in the world that had a nuclear arsenal. The United States had a nuclear arsenal that was capable of destroying the entire world within a few hours. The United States had a nuclear arsenal"
"In 1914 , she formed","In 1914 , she formed a partnership with her brother, the architect and designer, John H. Hines, and the firm was renamed Hines & Hines. In 1915, she married the architect and designer, John H. Hines, Jr"
Her sole combat engagement occurred,"Her sole combat engagement occurred in the Battle of the Bulge, where he was wounded and captured by the Germans. He was taken prisoner by the Germans and held in a concentration camp in the German Democratic Republic. He was released in 1945 and was awarded"
She also took part in,"She also took part in the first ever National Youth Day Rally in the city of Banjul, Gambia, in September 2013. She was also a member of the National Youth Council of Gambia, which was formed in 2012. She was also a member"
